Function,Device,Control
PitchAxisRaw,ThrustMasterWarthogJoystick,Joy_YAxis
CamTranslateYAxis,ThrustMasterWarthogJoystick,Joy_YAxis
BuggyPitchAxis,ThrustMasterWarthogJoystick,Joy_YAxis
ExplorationFSSCameraPitch,ThrustMasterWarthogJoystick,Joy_YAxis
StorePitchCamera,ThrustMasterWarthogJoystick,Joy_YAxis
PrimaryFire,ThrustMasterWarthogJoystick,Joy_1
ExplorationFSSZoomIn,ThrustMasterWarthogJoystick,Joy_1
BuggyPrimaryFireButton,ThrustMasterWarthogJoystick,Joy_1
StoreToggle,ThrustMasterWarthogJoystick,Joy_1
,ThrustMasterWarthogJoystick,Joy_1
RollAxisRaw,ThrustMasterWarthogJoystick,Joy_XAxis
CamTranslateXAxis,ThrustMasterWarthogJoystick,Joy_XAxis
BuggyRollAxisRaw,ThrustMasterWarthogJoystick,Joy_XAxis
SteeringAxis,ThrustMasterWarthogJoystick,Joy_XAxis
StoreYawCamera,ThrustMasterWarthogJoystick,Joy_XAxis
SecondaryFire,ThrustMasterWarthogJoystick,Joy_2
ExplorationFSSZoomOut,ThrustMasterWarthogJoystick,Joy_2
BuggySecondaryFireButton,ThrustMasterWarthogJoystick,Joy_2
,ThrustMasterWarthogJoystick,Joy_2
,ThrustMasterWarthogJoystick,Joy_2
ResetPowerDistribution,ThrustMasterWarthogJoystick,Joy_13
,ThrustMasterWarthogJoystick,Joy_13
BuggyTurretPitchDownButton,ThrustMasterWarthogJoystick,Joy_13
CamPitchDown,ThrustMasterWarthogJoystick,Joy_13
,ThrustMasterWarthogJoystick,Joy_13
IncreaseEnginesPower,ThrustMasterWarthogJoystick,Joy_11
CamPitchUp,ThrustMasterWarthogJoystick,Joy_11
BuggyTurretPitchUpButton,ThrustMasterWarthogJoystick,Joy_11
,ThrustMasterWarthogJoystick,Joy_11
,ThrustMasterWarthogJoystick,Joy_11
IncreaseSystemsPower,ThrustMasterWarthogJoystick,Joy_14
CyclePreviousPage,ThrustMasterWarthogJoystick,Joy_14
BuggyTurretYawLeftButton,ThrustMasterWarthogJoystick,Joy_14
CamYawLeft,ThrustMasterWarthogJoystick,Joy_14
,ThrustMasterWarthogJoystick,Joy_14
IncreaseWeaponsPower,ThrustMasterWarthogJoystick,Joy_12
CycleNextPage,ThrustMasterWarthogJoystick,Joy_12
BuggyTurretYawRightButton,ThrustMasterWarthogJoystick,Joy_12
CamYawRight,ThrustMasterWarthogJoystick,Joy_12
,ThrustMasterWarthogJoystick,Joy_12
ToggleFlightAssist,ThrustMasterWarthogJoystick,Joy_4
ExplorationFSSDiscoveryScan,ThrustMasterWarthogJoystick,Joy_4
ToggleDriveAssist,ThrustMasterWarthogJoystick,Joy_4
ExplorationSAAChangeScannedAreaViewToggle,ThrustMasterWarthogJoystick,Joy_4
CamTranslateZHold,ThrustMasterWarthogJoystick,Joy_4
CycleNextHostileTarget,ThrustMasterWarthogJoystick,Joy_POV1Up
CamZoomIn,ThrustMasterWarthogJoystick,Joy_POV1Up
,ThrustMasterWarthogJoystick,Joy_POV1Up
,ThrustMasterWarthogJoystick,Joy_POV1Up
,ThrustMasterWarthogJoystick,Joy_POV1Up
CyclePreviousHostileTarget,ThrustMasterWarthogJoystick,Joy_POV1Down
CamZoomOut,ThrustMasterWarthogJoystick,Joy_POV1Down
,ThrustMasterWarthogJoystick,Joy_POV1Down
,ThrustMasterWarthogJoystick,Joy_POV1Down
,ThrustMasterWarthogJoystick,Joy_POV1Down
CycleNextTarget,ThrustMasterWarthogJoystick,Joy_POV1Right
,ThrustMasterWarthogJoystick,Joy_POV1Right
,ThrustMasterWarthogJoystick,Joy_POV1Right
,ThrustMasterWarthogJoystick,Joy_POV1Right
,ThrustMasterWarthogJoystick,Joy_POV1Right
CyclePreviousTarget,ThrustMasterWarthogJoystick,Joy_POV1Left
,ThrustMasterWarthogJoystick,Joy_POV1Left
,ThrustMasterWarthogJoystick,Joy_POV1Left
,ThrustMasterWarthogJoystick,Joy_POV1Left
,ThrustMasterWarthogJoystick,Joy_POV1Left
FocusCommsPanel,ThrustMasterWarthogJoystick,Joy_7
,ThrustMasterWarthogJoystick,Joy_7
FocusCommsPanel_Buggy,ThrustMasterWarthogJoystick,Joy_7
ExplorationFSSMiniZoomIn,ThrustMasterWarthogJoystick,Joy_7
,ThrustMasterWarthogJoystick,Joy_7
FocusRadarPanel,ThrustMasterWarthogJoystick,Joy_9
StoreCamZoomOut,ThrustMasterWarthogJoystick,Joy_9
FocusRadarPanel_Buggy,ThrustMasterWarthogJoystick,Joy_9
ExplorationFSSMiniZoomOut,ThrustMasterWarthogJoystick,Joy_9
,ThrustMasterWarthogJoystick,Joy_9
UIFocus,ThrustMasterWarthogJoystick,Joy_3
ExplorationFSSQuit,ThrustMasterWarthogJoystick,Joy_3
UIFocus_Buggy,ThrustMasterWarthogJoystick,Joy_3
ExplorationSAAExitThirdPerson,ThrustMasterWarthogJoystick,Joy_3
,ThrustMasterWarthogJoystick,Joy_3
SelectTarget,ThrustMasterWarthogJoystick,Joy_5
ExplorationFSSTarget,ThrustMasterWarthogJoystick,Joy_5
,ThrustMasterWarthogJoystick,Joy_5
,ThrustMasterWarthogJoystick,Joy_5
,ThrustMasterWarthogJoystick,Joy_5
FocusLeftPanel,ThrustMasterWarthogJoystick,Joy_10
,ThrustMasterWarthogJoystick,Joy_10
FocusLeftPanel_Buggy,ThrustMasterWarthogJoystick,Joy_10
,ThrustMasterWarthogJoystick,Joy_10
,ThrustMasterWarthogJoystick,Joy_10
FocusRightPanel,ThrustMasterWarthogJoystick,Joy_8
,ThrustMasterWarthogJoystick,Joy_8
FocusRightPanel_Buggy,ThrustMasterWarthogJoystick,Joy_8
,ThrustMasterWarthogJoystick,Joy_8
,ThrustMasterWarthogJoystick,Joy_8
ToggleFlightAssist,ThrustMasterWarthogJoystick,Joy_4
ExplorationFSSDiscoveryScan,ThrustMasterWarthogJoystick,Joy_4
ToggleDriveAssist,ThrustMasterWarthogJoystick,Joy_4
ExplorationSAAChangeScannedAreaViewToggle,ThrustMasterWarthogJoystick,Joy_4
CamTranslateZHold,ThrustMasterWarthogJoystick,Joy_4
UI_Down,ThrustMasterWarthogJoystick,Joy_17
,ThrustMasterWarthogJoystick,Joy_17
,ThrustMasterWarthogJoystick,Joy_17
,ThrustMasterWarthogJoystick,Joy_17
,ThrustMasterWarthogJoystick,Joy_17
UI_Left,ThrustMasterWarthogJoystick,Joy_18
,ThrustMasterWarthogJoystick,Joy_18
,ThrustMasterWarthogJoystick,Joy_18
,ThrustMasterWarthogJoystick,Joy_18
,ThrustMasterWarthogJoystick,Joy_18
UI_Right,ThrustMasterWarthogJoystick,Joy_16
,ThrustMasterWarthogJoystick,Joy_16
,ThrustMasterWarthogJoystick,Joy_16
,ThrustMasterWarthogJoystick,Joy_16
,ThrustMasterWarthogJoystick,Joy_16
UI_Select,ThrustMasterWarthogJoystick,Joy_19
,ThrustMasterWarthogJoystick,Joy_19
,ThrustMasterWarthogJoystick,Joy_19
,ThrustMasterWarthogJoystick,Joy_19
,ThrustMasterWarthogJoystick,Joy_19
UI_Up,ThrustMasterWarthogJoystick,Joy_15
,ThrustMasterWarthogJoystick,Joy_15
,ThrustMasterWarthogJoystick,Joy_15
,ThrustMasterWarthogJoystick,Joy_15
,ThrustMasterWarthogJoystick,Joy_15
